"visual_authenticity_result","image_integrity_result","face_detection_result","image_quality_result","rejection_count"
"consider","clear","clear","clear","1397"
"clear","clear","clear","clear","289"
"consider","consider","clear","clear","171"
"clear","consider","clear","clear","39"
"consider","clear","consider","clear","19"
"consider","consider","consider","clear","5"
